label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
odroid4,89.1,91.1,86.1,84.3,85.0,84.8,84.6,84.5,84.6,84.6,84.5,84.3,84.3,85.1
odroid4,89.2,90.4,85.7,84.3,84.1,84.1,84.1,84.1,84.5,84.1,84.0,84.4,84.1,84.1
odroid4,88.9,90.5,85.7,84.3,84.8,84.2,84.8,84.3,84.0,84.6,84.7,84.2,84.2,84.6
odroid4,89.1,90.8,85.7,84.9,84.5,84.7,84.7,84.2,84.3,85.3,84.0,84.4,84.8,84.5
odroid4,89.1,87.5,86.0,84.1,84.2,84.3,84.4,84.5,84.1,84.0,84.2,84.4,84.1,83.7
odroid4,88.9,91.3,85.4,83.9,84.2,84.1,84.3,84.3,84.0,84.1,84.2,84.3,84.7,84.6
odroid4,89.0,87.4,86.2,84.9,84.6,84.4,84.4,84.2,84.5,84.3,84.4,84.0,84.1,84.6
odroid4,89.2,90.2,86.2,84.3,83.8,84.5,84.0,84.1,84.3,84.0,84.1,84.3,84.4,84.3
odroid4,89.4,90.1,85.7,84.8,84.0,83.9,84.1,84.5,83.8,84.2,84.4,84.3,83.8,84.1
odroid4,88.7,88.7,85.2,83.8,84.3,84.0,83.6,83.8,83.8,84.7,83.8,84.0,83.6,83.9
odroid4,88.6,87.8,85.4,84.1,84.1,83.9,84.2,83.9,85.3,85.0,83.8,83.6,83.9,84.2
odroid4,89.2,89.7,86.8,84.4,85.0,84.7,84.4,84.4,84.5,84.3,84.4,84.7,84.7,84.5
odroid4,89.2,88.1,85.5,83.7,83.9,83.7,84.5,83.7,83.9,83.5,84.0,84.1,83.7,83.7
odroid4,88.6,90.0,85.5,84.2,84.3,84.7,83.9,83.8,84.0,84.2,84.2,84.3,84.1,84.2
odroid4,99.4,87.4,86.0,84.5,84.2,84.5,84.3,83.9,84.5,84.5,84.2,84.4,84.4,84.5
odroid4,89.0,88.6,85.2,84.1,83.6,83.9,84.0,83.8,84.2,83.9,83.7,83.9,83.9,83.9
odroid4,89.4,89.6,86.0,84.6,84.7,84.7,84.1,84.5,84.2,84.9,84.4,85.3,84.0,84.5
odroid4,88.4,90.8,85.8,84.4,84.0,84.7,84.5,83.8,84.0,84.4,84.6,84.5,84.3,84.3
odroid4,89.3,88.2,85.3,84.0,84.1,83.8,84.2,84.0,84.0,84.2,84.2,83.8,84.2,83.8
odroid4,89.1,90.8,85.7,84.1,84.3,84.5,84.3,84.6,84.7,84.6,84.9,84.4,84.2,84.3
odroid4,88.5,92.4,85.4,84.4,84.4,84.4,84.5,84.0,84.0,84.1,84.4,84.3,84.5,84.2
odroid4,89.1,86.9,85.9,84.6,84.3,84.2,84.5,84.7,84.4,84.9,84.9,84.4,84.6,84.6
odroid4,88.3,87.8,85.6,84.1,84.1,83.7,83.9,84.1,83.8,84.4,84.0,84.3,83.8,83.9
odroid4,88.8,87.1,85.8,84.4,84.3,84.2,84.2,84.4,84.4,84.5,84.3,84.4,84.0,84.3
odroid4,88.1,88.4,86.9,84.2,84.3,84.0,83.8,83.8,83.9,84.1,83.9,83.7,84.4,84.1
odroid4,88.5,91.5,86.0,84.0,84.3,84.8,83.8,83.9,84.0,84.3,84.2,84.0,84.7,84.8
odroid4,88.3,88.1,85.4,84.2,84.2,84.0,83.9,83.9,84.1,84.2,84.0,84.5,84.3,84.3
odroid4,88.6,91.4,85.7,83.6,83.4,83.6,84.5,84.1,84.1,84.4,84.2,83.7,83.9,84.1
odroid4,89.1,88.0,85.8,84.0,84.5,84.1,84.1,84.4,84.2,84.5,84.2,84.1,84.1,84.2
odroid4,89.4,89.5,85.7,84.2,84.8,85.0,84.6,84.2,84.6,84.1,84.5,84.3,84.5,84.2
odroid4,89.0,90.8,85.5,83.7,84.2,84.3,84.3,84.3,84.0,84.2,84.3,84.2,83.9,84.6
odroid4,89.5,88.7,86.3,83.9,84.4,84.2,84.2,83.8,84.5,84.3,84.6,84.3,84.5,84.6
odroid4,88.3,89.4,85.5,83.9,84.2,84.5,84.8,84.0,84.1,83.9,84.4,84.3,84.4,83.8
odroid4,89.4,88.4,85.0,83.7,83.8,83.4,84.0,84.3,84.1,83.7,83.6,83.9,83.9,83.5
odroid4,89.1,91.6,85.4,84.7,84.5,84.2,84.7,84.3,84.6,85.1,84.7,85.1,84.0,84.5
odroid4,88.7,91.6,85.8,84.4,84.2,84.3,84.3,84.0,83.9,84.1,84.3,84.3,84.8,84.1
odroid4,89.4,88.2,85.4,84.1,84.4,84.6,84.0,84.3,84.6,84.3,84.2,85.1,84.5,84.4
odroid4,88.8,93.1,85.5,84.2,83.7,84.3,83.7,83.8,84.0,84.0,84.1,84.3,85.7,85.5
odroid4,89.2,88.1,85.6,84.4,84.5,84.3,84.5,84.6,84.4,84.3,84.6,84.3,84.4,84.5
odroid4,89.2,91.0,86.1,84.3,84.5,84.5,84.4,84.7,85.1,84.4,84.5,84.5,84.9,84.3
odroid4,89.2,87.9,85.6,84.4,84.3,84.1,84.7,84.1,84.3,84.1,84.5,84.5,84.0,84.5
odroid4,88.5,89.1,85.7,83.8,83.7,83.5,84.0,84.7,84.8,84.0,84.5,83.9,83.9,84.1
odroid4,88.6,91.4,85.6,84.5,84.5,83.9,84.1,84.3,84.4,84.5,84.2,84.2,84.6,84.2
odroid4,89.2,87.3,86.2,84.4,84.2,84.8,84.7,84.5,84.2,84.4,84.2,84.5,83.9,84.4
odroid4,89.0,88.5,85.4,84.2,84.8,83.9,84.0,84.1,84.2,84.0,84.4,84.2,84.1,84.3
odroid4,89.0,90.5,85.6,85.1,84.2,84.2,84.1,83.9,84.0,84.0,83.9,84.1,84.0,84.0
odroid4,88.7,90.0,86.1,84.1,83.7,84.3,83.8,83.8,83.8,83.9,84.1,84.1,83.7,83.9
odroid4,88.5,88.4,85.8,84.6,84.2,84.3,84.1,84.3,84.4,83.9,84.4,84.0,84.5,84.2
odroid4,89.0,88.9,86.3,84.3,84.6,84.2,85.0,84.3,84.6,84.3,84.2,84.2,84.3,84.6
odroid4,89.0,87.6,86.6,84.3,84.3,84.1,83.9,83.8,84.4,84.2,84.1,83.9,84.8,83.9
odroid4,89.1,87.9,85.8,84.3,84.7,84.3,84.2,84.1,84.1,84.5,84.3,84.7,84.4,83.9
odroid4,88.8,89.6,85.2,84.2,83.8,83.7,84.0,84.1,84.2,84.2,83.9,84.0,84.7,84.4
odroid4,88.6,88.8,85.6,84.0,84.1,84.1,84.9,84.0,83.9,84.1,84.7,84.1,83.8,83.9
odroid4,88.8,88.8,85.7,83.9,84.0,83.9,84.2,84.1,84.6,83.9,83.9,84.2,83.9,83.8
odroid4,89.0,89.0,86.3,84.6,84.5,84.0,84.8,85.1,84.5,84.5,84.3,84.7,84.7,84.5
odroid4,89.5,90.7,86.4,84.4,84.8,84.5,84.2,84.5,84.2,84.2,84.4,84.9,84.4,84.2
