label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
odroid3,165.0,167.0,170.0,168.0,168.0,167.0,167.0
odroid3,164.0,165.0,167.0,167.0,167.0,167.0,166.0
odroid3,168.0,171.0,169.0,171.0,171.0,170.0,167.0
odroid3,167.0,172.0,170.0,172.0,173.0,173.0,167.0
odroid3,168.0,168.0,171.0,174.0,160.0,170.0,170.0
odroid3,168.0,173.0,169.0,172.0,170.0,172.0,166.0
odroid3,168.0,172.0,171.0,170.0,171.0,172.0,166.0
odroid3,166.0,172.0,170.0,171.0,170.0,171.0,165.0
odroid3,162.0,168.0,169.0,166.0,166.0,166.0,168.0
odroid3,164.0,167.0,169.0,164.0,167.0,165.0,164.0
odroid3,167.0,171.0,169.0,170.0,170.0,172.0,166.0
odroid3,156.0,171.0,168.0,171.0,170.0,172.0,167.0
odroid3,167.0,170.0,169.0,168.0,171.0,169.0,168.0
odroid3,168.0,172.0,169.0,171.0,170.0,172.0,167.0
odroid3,167.0,169.0,169.0,168.0,168.0,170.0,170.0
odroid3,167.0,174.0,167.0,171.0,173.0,171.0,165.0
odroid3,164.0,164.0,167.0,165.0,166.0,166.0,165.0
odroid3,167.0,174.0,169.0,172.0,171.0,171.0,167.0
odroid3,168.0,171.0,169.0,172.0,170.0,172.0,167.0
odroid3,166.0,172.0,169.0,170.0,173.0,171.0,165.0
odroid3,167.0,170.0,170.0,170.0,170.0,171.0,168.0
odroid3,169.0,172.0,169.0,172.0,172.0,170.0,168.0
odroid3,166.0,171.0,169.0,173.0,172.0,171.0,166.0
odroid3,167.0,169.0,171.0,170.0,169.0,168.0,169.0
odroid3,166.0,171.0,170.0,172.0,172.0,170.0,166.0
odroid3,167.0,173.0,171.0,170.0,171.0,170.0,167.0
odroid3,167.0,172.0,171.0,170.0,173.0,171.0,168.0
odroid3,168.0,171.0,169.0,170.0,172.0,173.0,164.0
odroid3,169.0,171.0,169.0,171.0,171.0,172.0,166.0
odroid3,169.0,173.0,169.0,173.0,169.0,173.0,167.0
odroid3,165.0,167.0,166.0,167.0,166.0,166.0,167.0
odroid3,165.0,165.0,168.0,165.0,167.0,166.0,166.0
odroid3,167.0,171.0,168.0,172.0,169.0,169.0,168.0
odroid3,163.0,164.0,167.0,166.0,165.0,165.0,164.0
odroid3,167.0,173.0,167.0,171.0,172.0,173.0,167.0
odroid3,165.0,167.0,169.0,171.0,169.0,169.0,169.0
odroid3,167.0,170.0,171.0,169.0,168.0,169.0,169.0
odroid3,166.0,173.0,169.0,170.0,171.0,170.0,167.0
odroid3,165.0,169.0,170.0,170.0,167.0,170.0,171.0
odroid3,166.0,170.0,170.0,171.0,171.0,171.0,165.0
odroid3,168.0,173.0,168.0,173.0,169.0,172.0,166.0
odroid3,168.0,173.0,168.0,168.0,164.0,168.0,168.0
odroid3,171.0,170.0,170.0,170.0,171.0,170.0,166.0
odroid3,166.0,168.0,171.0,169.0,169.0,168.0,170.0
odroid3,166.0,174.0,170.0,171.0,174.0,169.0,166.0
odroid3,166.0,166.0,169.0,166.0,167.0,168.0,166.0
odroid3,166.0,172.0,169.0,171.0,172.0,171.0,167.0
odroid3,165.0,170.0,172.0,168.0,169.0,171.0,168.0
odroid3,169.0,174.0,170.0,172.0,172.0,172.0,166.0
odroid3,170.0,168.0,170.0,172.0,171.0,171.0,166.0
odroid3,167.0,172.0,168.0,173.0,172.0,170.0,167.0
odroid3,168.0,172.0,168.0,172.0,170.0,172.0,164.0
odroid3,169.0,172.0,170.0,171.0,172.0,170.0,165.0
odroid3,168.0,169.0,171.0,173.0,170.0,170.0,166.0
odroid3,169.0,167.0,171.0,169.0,168.0,169.0,170.0
odroid3,167.0,169.0,170.0,170.0,169.0,168.0,168.0
odroid3,164.0,164.0,170.0,164.0,168.0,167.0,164.0
odroid3,167.0,173.0,171.0,170.0,170.0,170.0,166.0
odroid3,169.0,172.0,169.0,171.0,171.0,171.0,166.0
odroid3,166.0,169.0,171.0,169.0,168.0,171.0,169.0
odroid3,166.0,171.0,171.0,171.0,170.0,170.0,166.0
odroid3,170.0,171.0,169.0,173.0,171.0,173.0,164.0
odroid3,166.0,173.0,168.0,171.0,170.0,170.0,167.0
odroid3,162.0,166.0,169.0,166.0,166.0,164.0,168.0
odroid3,166.0,171.0,168.0,173.0,172.0,170.0,166.0
odroid3,167.0,170.0,169.0,173.0,171.0,170.0,166.0
odroid3,163.0,168.0,167.0,164.0,164.0,165.0,167.0
odroid3,166.0,170.0,170.0,172.0,171.0,171.0,166.0
odroid3,164.0,166.0,166.0,167.0,168.0,167.0,167.0
odroid3,171.0,168.0,167.0,172.0,172.0,171.0,167.0
odroid3,168.0,169.0,169.0,173.0,173.0,172.0,164.0
odroid3,167.0,171.0,169.0,172.0,172.0,170.0,167.0
odroid3,168.0,172.0,170.0,170.0,172.0,171.0,165.0
odroid3,165.0,173.0,168.0,170.0,171.0,173.0,165.0
odroid3,163.0,166.0,168.0,165.0,167.0,166.0,164.0
odroid3,167.0,172.0,169.0,170.0,172.0,172.0,167.0
odroid3,169.0,173.0,167.0,173.0,170.0,170.0,168.0
odroid3,168.0,172.0,171.0,170.0,170.0,173.0,163.0
odroid3,167.0,171.0,169.0,168.0,171.0,169.0,170.0
odroid3,169.0,172.0,170.0,171.0,171.0,169.0,166.0
odroid3,164.0,168.0,167.0,166.0,167.0,165.0,166.0
odroid3,169.0,172.0,171.0,171.0,170.0,172.0,168.0
odroid3,168.0,171.0,170.0,170.0,172.0,172.0,169.0
odroid3,199.0,132.0,167.0,166.0,165.0,165.0,168.0
odroid3,167.0,171.0,169.0,171.0,172.0,172.0,165.0
odroid3,164.0,167.0,169.0,166.0,166.0,166.0,167.0
odroid3,167.0,172.0,168.0,171.0,173.0,173.0,165.0
odroid3,167.0,173.0,170.0,171.0,170.0,171.0,166.0
odroid3,166.0,171.0,169.0,171.0,170.0,171.0,168.0
odroid3,167.0,170.0,170.0,171.0,169.0,166.0,169.0
odroid3,168.0,170.0,170.0,170.0,173.0,170.0,167.0
odroid3,166.0,167.0,169.0,167.0,166.0,167.0,166.0
odroid3,167.0,171.0,169.0,172.0,172.0,172.0,166.0
odroid3,165.0,172.0,171.0,170.0,172.0,169.0,166.0
odroid3,168.0,171.0,167.0,172.0,170.0,170.0,164.0
odroid3,165.0,169.0,170.0,337.0,20.0,158.0,169.0
odroid3,163.0,166.0,168.0,165.0,166.0,164.0,165.0
odroid3,169.0,171.0,169.0,172.0,172.0,170.0,166.0
odroid3,167.0,172.0,169.0,171.0,169.0,171.0,168.0
odroid3,165.0,167.0,167.0,166.0,168.0,166.0,164.0
odroid3,168.0,174.0,170.0,172.0,170.0,172.0,167.0
odroid3,168.0,172.0,170.0,169.0,171.0,172.0,165.0
odroid3,162.0,168.0,166.0,166.0,168.0,166.0,168.0
odroid3,168.0,172.0,169.0,171.0,172.0,172.0,165.0
odroid3,174.0,172.0,166.0,175.0,166.0,176.0,161.0
odroid3,163.0,166.0,169.0,166.0,165.0,165.0,167.0
odroid3,169.0,170.0,168.0,172.0,170.0,172.0,166.0
odroid3,168.0,172.0,169.0,172.0,173.0,170.0,166.0
odroid3,168.0,173.0,170.0,171.0,172.0,171.0,167.0
odroid3,167.0,170.0,170.0,174.0,171.0,169.0,166.0
odroid3,167.0,173.0,170.0,173.0,170.0,171.0,167.0
odroid3,169.0,172.0,169.0,172.0,171.0,172.0,165.0
odroid3,163.0,167.0,168.0,166.0,167.0,167.0,165.0
odroid3,166.0,166.0,167.0,167.0,164.0,168.0,164.0
odroid3,163.0,166.0,168.0,168.0,165.0,167.0,164.0
odroid3,166.0,172.0,169.0,170.0,173.0,170.0,167.0
odroid3,167.0,173.0,171.0,170.0,172.0,171.0,166.0
odroid3,164.0,167.0,168.0,167.0,166.0,165.0,168.0
odroid3,171.0,171.0,170.0,174.0,172.0,170.0,167.0
odroid3,166.0,172.0,170.0,171.0,173.0,171.0,167.0
odroid3,166.0,173.0,169.0,171.0,171.0,171.0,165.0
odroid3,164.0,165.0,168.0,166.0,166.0,166.0,166.0
odroid3,169.0,168.0,169.0,170.0,169.0,169.0,171.0
odroid3,167.0,171.0,170.0,171.0,172.0,171.0,166.0
odroid3,168.0,171.0,170.0,173.0,170.0,171.0,168.0
odroid3,168.0,172.0,171.0,170.0,173.0,171.0,166.0
odroid3,166.0,170.0,167.0,172.0,170.0,171.0,166.0
odroid3,168.0,171.0,169.0,172.0,170.0,171.0,166.0
odroid3,172.0,172.0,168.0,173.0,170.0,169.0,165.0
odroid3,168.0,170.0,170.0,170.0,168.0,168.0,170.0
odroid3,166.0,172.0,169.0,170.0,172.0,171.0,165.0
odroid3,168.0,170.0,169.0,172.0,171.0,172.0,165.0
odroid3,166.0,172.0,171.0,172.0,171.0,170.0,167.0
odroid3,168.0,172.0,168.0,172.0,171.0,171.0,166.0
odroid3,167.0,173.0,171.0,171.0,173.0,169.0,166.0
odroid3,166.0,170.0,169.0,172.0,171.0,170.0,166.0
odroid3,170.0,173.0,168.0,171.0,171.0,172.0,166.0
odroid3,170.0,171.0,168.0,171.0,170.0,171.0,167.0
odroid3,165.0,173.0,169.0,171.0,174.0,171.0,167.0
odroid3,169.0,171.0,170.0,171.0,170.0,172.0,164.0
odroid3,167.0,168.0,170.0,168.0,169.0,172.0,167.0
odroid3,166.0,173.0,169.0,171.0,172.0,170.0,167.0
odroid3,171.0,171.0,169.0,172.0,171.0,170.0,165.0
odroid3,167.0,173.0,169.0,173.0,170.0,170.0,165.0
odroid3,167.0,167.0,170.0,167.0,169.0,168.0,169.0
odroid3,164.0,165.0,168.0,166.0,167.0,168.0,165.0
odroid3,165.0,166.0,167.0,164.0,167.0,164.0,165.0
odroid3,166.0,173.0,169.0,172.0,169.0,172.0,166.0
odroid3,169.0,173.0,168.0,172.0,171.0,170.0,166.0
odroid3,168.0,172.0,169.0,172.0,170.0,170.0,164.0
odroid3,169.0,172.0,169.0,172.0,172.0,171.0,164.0
odroid3,166.0,164.0,166.0,166.0,166.0,167.0,166.0
odroid3,171.0,171.0,168.0,171.0,171.0,171.0,167.0
odroid3,166.0,169.0,171.0,167.0,170.0,169.0,168.0
odroid3,167.0,170.0,164.0,2.0,173.0,12.0,313.0
odroid3,168.0,171.0,169.0,170.0,172.0,173.0,165.0
odroid3,166.0,172.0,168.0,171.0,172.0,172.0,167.0
odroid3,167.0,171.0,167.0,174.0,171.0,171.0,168.0
odroid3,168.0,169.0,169.0,173.0,172.0,174.0,167.0
odroid3,169.0,172.0,169.0,172.0,171.0,172.0,164.0
odroid3,169.0,171.0,171.0,170.0,172.0,172.0,168.0
odroid3,167.0,170.0,169.0,168.0,169.0,168.0,169.0
odroid3,166.0,171.0,170.0,171.0,171.0,172.0,165.0
odroid3,164.0,166.0,169.0,165.0,167.0,168.0,165.0
odroid3,167.0,173.0,169.0,170.0,171.0,171.0,167.0
odroid3,167.0,171.0,169.0,171.0,171.0,171.0,167.0
odroid3,164.0,166.0,169.0,165.0,179.0,158.0,169.0
odroid3,166.0,173.0,170.0,172.0,171.0,170.0,167.0
odroid3,163.0,168.0,168.0,166.0,167.0,167.0,166.0
odroid3,162.0,167.0,167.0,166.0,168.0,166.0,166.0
odroid3,167.0,167.0,171.0,169.0,170.0,168.0,167.0
odroid3,165.0,167.0,168.0,164.0,163.0,166.0,166.0
odroid3,169.0,168.0,171.0,169.0,167.0,168.0,167.0
odroid3,165.0,173.0,172.0,171.0,173.0,171.0,167.0
odroid3,165.0,169.0,171.0,169.0,169.0,170.0,168.0
odroid3,167.0,171.0,171.0,170.0,172.0,170.0,166.0
odroid3,167.0,171.0,169.0,171.0,172.0,171.0,167.0
odroid3,166.0,170.0,169.0,171.0,170.0,171.0,164.0
odroid3,165.0,168.0,167.0,168.0,164.0,167.0,166.0
odroid3,164.0,168.0,167.0,165.0,164.0,164.0,165.0
odroid3,168.0,171.0,169.0,172.0,171.0,171.0,166.0
odroid3,163.0,168.0,166.0,168.0,166.0,166.0,166.0
odroid3,168.0,173.0,167.0,171.0,172.0,171.0,166.0
odroid3,163.0,167.0,166.0,167.0,165.0,166.0,164.0
odroid3,166.0,171.0,169.0,173.0,172.0,172.0,166.0
odroid3,163.0,168.0,168.0,166.0,166.0,165.0,168.0
odroid3,166.0,173.0,169.0,174.0,169.0,172.0,166.0
odroid3,168.0,171.0,170.0,169.0,172.0,171.0,181.0
odroid3,166.0,168.0,171.0,172.0,167.0,169.0,169.0
odroid3,168.0,170.0,168.0,170.0,170.0,171.0,168.0
odroid3,163.0,167.0,167.0,166.0,165.0,166.0,165.0
odroid3,163.0,165.0,166.0,166.0,168.0,165.0,167.0
odroid3,168.0,171.0,168.0,172.0,170.0,171.0,165.0
odroid3,169.0,172.0,167.0,172.0,169.0,172.0,166.0
odroid3,169.0,173.0,170.0,172.0,173.0,171.0,168.0
odroid3,164.0,166.0,167.0,165.0,167.0,166.0,166.0
odroid3,164.0,166.0,167.0,167.0,167.0,165.0,167.0
odroid3,164.0,167.0,170.0,167.0,166.0,165.0,166.0
odroid3,164.0,166.0,169.0,165.0,166.0,165.0,166.0
odroid3,167.0,170.0,167.0,171.0,172.0,171.0,167.0
odroid3,164.0,166.0,168.0,165.0,166.0,167.0,164.0
odroid3,168.0,171.0,170.0,172.0,172.0,172.0,165.0
odroid3,167.0,171.0,167.0,172.0,169.0,170.0,167.0
odroid3,168.0,173.0,171.0,170.0,170.0,171.0,166.0
odroid3,166.0,173.0,170.0,170.0,172.0,169.0,165.0
odroid3,166.0,173.0,168.0,171.0,171.0,170.0,167.0
odroid3,166.0,169.0,169.0,170.0,170.0,168.0,170.0
odroid3,169.0,170.0,168.0,173.0,172.0,169.0,167.0
odroid3,169.0,169.0,168.0,173.0,171.0,170.0,166.0
odroid3,168.0,172.0,169.0,173.0,171.0,171.0,167.0
odroid3,167.0,168.0,169.0,171.0,169.0,169.0,169.0
odroid3,169.0,170.0,169.0,172.0,173.0,172.0,167.0
odroid3,168.0,172.0,168.0,172.0,171.0,170.0,167.0
odroid3,167.0,171.0,170.0,170.0,172.0,171.0,166.0
odroid3,148.0,167.0,169.0,170.0,170.0,168.0,170.0
odroid3,168.0,168.0,170.0,168.0,169.0,170.0,168.0
odroid3,163.0,168.0,166.0,166.0,165.0,165.0,166.0
odroid3,169.0,171.0,169.0,170.0,172.0,170.0,165.0
odroid3,168.0,169.0,168.0,171.0,170.0,173.0,166.0
odroid3,168.0,170.0,171.0,171.0,173.0,168.0,166.0
odroid3,168.0,172.0,171.0,170.0,173.0,170.0,167.0
odroid3,170.0,169.0,170.0,172.0,170.0,173.0,166.0
odroid3,167.0,173.0,169.0,170.0,172.0,170.0,165.0
odroid3,167.0,174.0,169.0,170.0,170.0,173.0,165.0
odroid3,165.0,166.0,167.0,166.0,166.0,167.0,165.0
odroid3,169.0,170.0,169.0,170.0,172.0,171.0,165.0
odroid3,164.0,166.0,169.0,166.0,166.0,165.0,167.0
odroid3,167.0,173.0,168.0,171.0,171.0,174.0,165.0
odroid3,167.0,173.0,169.0,170.0,173.0,172.0,167.0
odroid3,165.0,176.0,165.0,172.0,172.0,171.0,166.0
odroid3,168.0,172.0,169.0,172.0,171.0,171.0,166.0
odroid3,169.0,172.0,169.0,172.0,170.0,172.0,165.0
odroid3,165.0,166.0,169.0,166.0,164.0,166.0,164.0
odroid3,162.0,166.0,169.0,166.0,167.0,167.0,166.0
odroid3,167.0,171.0,170.0,173.0,170.0,173.0,166.0
odroid3,168.0,170.0,170.0,171.0,171.0,173.0,166.0
odroid3,166.0,172.0,170.0,170.0,172.0,170.0,167.0
odroid3,166.0,168.0,172.0,170.0,168.0,168.0,170.0
odroid3,165.0,172.0,168.0,172.0,171.0,171.0,166.0
odroid3,169.0,170.0,170.0,171.0,173.0,170.0,167.0
odroid3,164.0,167.0,167.0,165.0,168.0,166.0,167.0
odroid3,167.0,171.0,171.0,169.0,172.0,171.0,167.0
odroid3,168.0,171.0,168.0,171.0,170.0,170.0,166.0
odroid3,167.0,171.0,170.0,171.0,170.0,171.0,168.0
odroid3,162.0,166.0,166.0,166.0,167.0,166.0,165.0
odroid3,165.0,166.0,167.0,166.0,165.0,164.0,167.0
odroid3,167.0,173.0,170.0,172.0,169.0,173.0,165.0
odroid3,170.0,170.0,168.0,169.0,170.0,171.0,166.0
odroid3,168.0,171.0,168.0,171.0,171.0,172.0,167.0
odroid3,166.0,172.0,170.0,171.0,171.0,172.0,167.0
odroid3,169.0,171.0,169.0,172.0,171.0,171.0,166.0
odroid3,163.0,165.0,166.0,165.0,166.0,165.0,166.0
odroid3,164.0,164.0,167.0,168.0,165.0,168.0,168.0
odroid3,165.0,166.0,169.0,165.0,166.0,167.0,165.0
odroid3,168.0,171.0,170.0,172.0,172.0,172.0,164.0
odroid3,165.0,167.0,168.0,166.0,167.0,167.0,164.0
odroid3,165.0,170.0,170.0,168.0,169.0,168.0,170.0
odroid3,164.0,167.0,167.0,167.0,166.0,164.0,166.0
odroid3,167.0,168.0,171.0,168.0,170.0,170.0,167.0
odroid3,166.0,171.0,170.0,172.0,170.0,171.0,168.0
odroid3,168.0,171.0,170.0,172.0,173.0,170.0,165.0
odroid3,165.0,164.0,169.0,166.0,164.0,168.0,165.0
odroid3,168.0,171.0,169.0,173.0,171.0,169.0,167.0
odroid3,169.0,172.0,168.0,172.0,171.0,169.0,166.0
odroid3,165.0,173.0,169.0,170.0,171.0,171.0,168.0
odroid3,166.0,169.0,170.0,170.0,167.0,169.0,169.0
odroid3,168.0,171.0,167.0,171.0,171.0,172.0,166.0
odroid3,164.0,165.0,166.0,168.0,167.0,167.0,165.0
odroid3,164.0,166.0,168.0,166.0,166.0,165.0,165.0
odroid3,165.0,170.0,168.0,169.0,172.0,172.0,166.0
odroid3,168.0,172.0,170.0,172.0,171.0,171.0,166.0
odroid3,167.0,172.0,169.0,171.0,173.0,171.0,165.0
odroid3,170.0,171.0,170.0,171.0,172.0,172.0,167.0
odroid3,168.0,174.0,169.0,172.0,173.0,170.0,167.0
odroid3,128.0,161.0,168.0,171.0,173.0,172.0,166.0
odroid3,165.0,172.0,170.0,170.0,173.0,170.0,165.0
odroid3,167.0,171.0,170.0,173.0,172.0,172.0,164.0
odroid3,169.0,168.0,170.0,169.0,170.0,170.0,170.0
odroid3,167.0,170.0,169.0,173.0,170.0,171.0,165.0
odroid3,165.0,165.0,168.0,165.0,165.0,167.0,168.0
odroid3,167.0,172.0,169.0,173.0,170.0,170.0,166.0
odroid3,167.0,174.0,169.0,172.0,170.0,172.0,167.0
odroid3,168.0,170.0,168.0,172.0,170.0,171.0,166.0
odroid3,167.0,174.0,169.0,171.0,169.0,171.0,165.0
odroid3,163.0,168.0,168.0,165.0,165.0,168.0,165.0
odroid3,168.0,173.0,168.0,172.0,170.0,171.0,166.0
odroid3,168.0,167.0,171.0,168.0,170.0,170.0,167.0
odroid3,168.0,172.0,168.0,171.0,172.0,170.0,164.0
odroid3,168.0,172.0,170.0,171.0,172.0,172.0,164.0
odroid3,164.0,166.0,167.0,166.0,166.0,168.0,165.0
odroid3,167.0,174.0,168.0,169.0,173.0,172.0,165.0
odroid3,167.0,172.0,170.0,170.0,172.0,170.0,165.0
odroid3,167.0,172.0,169.0,170.0,172.0,171.0,166.0
odroid3,163.0,166.0,167.0,168.0,166.0,165.0,166.0
odroid3,167.0,172.0,168.0,172.0,170.0,171.0,168.0
odroid3,167.0,173.0,168.0,171.0,172.0,170.0,166.0
odroid3,168.0,171.0,169.0,171.0,170.0,170.0,167.0
odroid3,167.0,172.0,171.0,172.0,170.0,172.0,165.0
odroid3,167.0,170.0,169.0,171.0,170.0,172.0,165.0
odroid3,167.0,171.0,170.0,171.0,171.0,173.0,166.0
odroid3,166.0,172.0,169.0,171.0,173.0,172.0,168.0
odroid3,168.0,172.0,169.0,169.0,171.0,172.0,166.0
odroid3,165.0,164.0,167.0,167.0,166.0,164.0,167.0
odroid3,153.0,173.0,175.0,169.0,171.0,172.0,168.0
odroid3,168.0,168.0,171.0,170.0,167.0,168.0,169.0
odroid3,166.0,178.0,236.0,101.0,171.0,170.0,166.0
odroid3,166.0,173.0,170.0,171.0,172.0,173.0,166.0
odroid3,168.0,172.0,169.0,171.0,171.0,173.0,165.0
odroid3,166.0,171.0,171.0,169.0,172.0,169.0,167.0
odroid3,168.0,173.0,168.0,170.0,171.0,171.0,165.0
odroid3,168.0,167.0,168.0,169.0,168.0,169.0,169.0
odroid3,167.0,172.0,167.0,171.0,172.0,171.0,168.0
odroid3,167.0,172.0,169.0,169.0,170.0,173.0,164.0
odroid3,168.0,170.0,169.0,173.0,171.0,171.0,167.0
odroid3,169.0,171.0,171.0,171.0,171.0,170.0,167.0
odroid3,165.0,165.0,166.0,168.0,164.0,166.0,165.0
odroid3,167.0,173.0,169.0,172.0,171.0,171.0,167.0
odroid3,167.0,169.0,171.0,168.0,168.0,169.0,169.0
odroid3,167.0,169.0,171.0,167.0,169.0,168.0,168.0
odroid3,171.0,171.0,169.0,169.0,172.0,171.0,167.0
odroid3,166.0,167.0,168.0,169.0,169.0,169.0,169.0
odroid3,162.0,167.0,168.0,163.0,167.0,168.0,166.0
odroid3,167.0,171.0,170.0,170.0,171.0,169.0,169.0
odroid3,167.0,170.0,168.0,171.0,171.0,172.0,166.0
odroid3,165.0,173.0,170.0,172.0,171.0,171.0,167.0
odroid3,178.0,165.0,171.0,169.0,180.0,166.0,164.0
